Date,Time,Size,Price
"<p class=""chakra-text css-2bkegz"">Jan 10, 2024</p>","<p class=""chakra-text css-2bkegz"">5:41 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,725</p></p>"
"<p class=""chakra-text css-2bkegz"">Jan 6, 2024</p>","<p class=""chakra-text css-2bkegz"">7:37 AM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$2,008</p></p>"
"<p class=""chakra-text css-2bkegz"">Jan 4, 2024</p>","<p class=""chakra-text css-2bkegz"">9:20 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,850</p></p>"
"<p class=""chakra-text css-2bkegz"">Jan 4, 2024</p>","<p class=""chakra-text css-2bkegz"">6:04 AM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,943</p></p>"
"<p class=""chakra-text css-2bkegz"">Jan 3, 2024</p>","<p class=""chakra-text css-2bkegz"">2:21 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,550</p></p>"
"<p class=""chakra-text css-2bkegz"">Jan 2, 2024</p>","<p class=""chakra-text css-2bkegz"">6:55 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,825</p></p>"
"<p class=""chakra-text css-2bkegz"">Jan 2, 2024</p>","<p class=""chakra-text css-2bkegz"">8:30 AM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,913</p></p>"
"<p class=""chakra-text css-2bkegz"">Dec 31, 2023</p>","<p class=""chakra-text css-2bkegz"">12:59 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,840</p></p>"
"<p class=""chakra-text css-2bkegz"">Dec 31, 2023</p>","<p class=""chakra-text css-2bkegz"">11:34 AM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,520</p></p>"
"<p class=""chakra-text css-2bkegz"">Dec 26, 2023</p>","<p class=""chakra-text css-2bkegz"">6:09 AM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,750</p></p>"
"<p class=""chakra-text css-2bkegz"">Dec 24, 2023</p>","<p class=""chakra-text css-2bkegz"">12:54 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,750</p></p>"
"<p class=""chakra-text css-2bkegz"">Dec 22, 2023</p>","<p class=""chakra-text css-2bkegz"">3:31 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,884</p></p>"
"<p class=""chakra-text css-2bkegz"">Dec 20, 2023</p>","<p class=""chakra-text css-2bkegz"">8:27 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,700</p></p>"
"<p class=""chakra-text css-2bkegz"">Dec 19, 2023</p>","<p class=""chakra-text css-2bkegz"">3:32 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,540</p></p>"
"<p class=""chakra-text css-2bkegz"">Dec 18, 2023</p>","<p class=""chakra-text css-2bkegz"">3:45 AM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,714</p></p>"
"<p class=""chakra-text css-2bkegz"">Dec 13, 2023</p>","<p class=""chakra-text css-2bkegz"">1:37 AM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,416</p></p>"
"<p class=""chakra-text css-2bkegz"">Dec 12, 2023</p>","<p class=""chakra-text css-2bkegz"">10:44 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,599</p></p>"
"<p class=""chakra-text css-2bkegz"">Dec 12, 2023</p>","<p class=""chakra-text css-2bkegz"">3:20 PM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,338</p></p>"
"<p class=""chakra-text css-2bkegz"">Dec 11, 2023</p>","<p class=""chakra-text css-2bkegz"">12:14 AM</p>","<p class=""chakra-text css-2bkegz"">US M 10.5</p>","<p class=""chakra-text css-2bkegz""><p class=""chakra-text css-6tf6w0"">$1,808</p></p>"
